,Survived,Sex,Fare
684,0,1,39.0
40,0,0,9.475
410,0,1,7.8958
330,1,0,23.25
71,0,0,46.9
676,0,1,8.05
308,0,1,24.0
378,0,1,4.0125
880,1,0,26.0
476,0,1,21.0
227,0,1,7.25
740,1,1,30.0
720,1,0,33.0
135,0,1,15.0458
855,1,0,9.35
423,0,0,14.4
479,1,0,12.2875
831,1,1,18.75
493,0,1,49.5042
384,0,1,7.8958
220,1,1,8.05
890,0,1,7.75
717,1,0,10.5
35,0,1,52.0
739,0,1,7.8958
273,0,1,29.7
229,0,0,25.4667
716,1,0,227.525
544,0,1,106.425
430,1,1,26.55
67,0,1,8.1583
399,1,0,12.65
834,0,1,8.3
37,0,1,8.05
582,0,1,26.0
188,0,1,15.5
551,0,1,26.0
775,0,1,7.75
475,0,1,52.0
285,0,1,8.6625
637,0,1,26.25
798,0,1,7.2292
659,0,1,113.275
144,0,1,11.5
761,0,1,7.125
31,1,0,146.5208
874,1,0,24.0
796,1,0,25.9292
202,0,1,6.4958
799,0,0,24.15
802,1,1,120.0
467,0,1,26.55
531,0,1,7.2292
223,0,1,7.8958
123,1,0,13.0
507,1,1,26.55
722,0,1,13.0
715,0,1,7.65
644,1,0,19.2583
518,1,0,26.0
763,1,0,120.0
85,1,0,15.85
657,0,0,15.5
492,0,1,30.5
93,0,1,20.575
374,0,0,21.075
369,1,0,69.3
8,1,0,11.1333
571,1,0,51.4792
159,0,1,69.55
405,0,1,21.0
23,1,1,35.5
624,0,1,16.1
136,1,0,26.2833
150,0,1,12.525
191,0,1,13.0
185,0,1,50.0
329,1,0,57.9792
734,0,1,13.0
283,1,1,8.05
243,0,1,7.125
539,1,0,49.5
149,0,1,13.0
83,0,1,47.1
386,0,1,46.9
695,0,1,13.5
376,1,0,7.25
324,0,1,69.55
45,0,1,8.05
687,0,1,10.1708
438,0,1,263.0
441,0,1,9.5
274,1,0,7.75
622,1,1,15.7417
849,1,0,89.1042
10,1,0,16.7
605,0,1,15.55
618,1,0,39.0
232,0,1,13.5
244,0,1,7.225
844,0,1,8.6625
336,0,1,66.6
346,1,0,13.0
370,1,1,55.4417
800,0,1,13.0
835,1,0,83.1583
168,0,1,25.925
161,1,0,15.75
530,1,0,26.0
177,0,0,28.7125
29,0,1,7.8958
745,0,1,71.0
866,1,0,13.8583
502,0,0,7.6292
435,1,0,120.0
714,0,1,13.0
709,1,1,15.2458
362,0,0,14.4542
685,0,1,41.5792
843,0,1,6.4375
885,0,0,29.125
412,1,0,90.0
116,0,1,7.75
642,0,0,27.9
415,0,0,8.05
247,1,0,14.5
173,0,1,7.925
865,1,0,13.0
540,1,0,71.0
262,0,1,79.65
7,0,1,21.075
194,1,0,27.7208
313,0,1,7.8958
608,1,0,41.5792
575,0,1,14.5
28,1,0,7.8792
485,0,0,25.4667
780,1,0,7.2292
593,0,0,7.75
69,0,1,8.6625
771,0,1,7.8542
61,1,0,80.0
176,0,1,25.4667
629,0,1,7.7333
148,0,1,26.0
341,1,0,263.0
340,1,1,26.0
730,1,0,211.3375
4,0,1,8.05
396,0,0,7.8542
413,0,1,0.0
572,1,1,26.3875
852,0,0,15.2458
604,1,1,26.55
553,1,1,7.225
320,0,1,7.25
674,0,1,0.0
88,1,0,263.0
372,0,1,8.05
505,0,1,108.9
263,0,1,0.0
887,1,0,30.0
527,0,1,221.7792
486,1,0,90.0
784,0,1,7.05
721,0,1,7.0542
597,0,1,0.0
270,0,1,31.0
208,1,0,7.75
842,1,0,31.0
541,0,0,31.275
225,0,1,9.35
316,1,0,26.0
213,0,1,13.0
522,0,1,7.225
125,1,1,11.2417
536,0,1,26.55
821,1,1,8.6625
167,0,0,27.9
778,0,1,7.7375
200,0,1,9.5
199,0,0,13.0
733,0,1,13.0
201,0,1,69.55
364,0,1,15.5
846,0,1,69.55
462,0,1,38.5
814,0,1,8.05
638,0,0,39.6875
352,0,1,7.2292
812,0,1,10.5
118,0,1,247.5208
793,0,1,30.6958
163,0,1,8.6625
151,1,0,66.6
87,0,1,8.05
193,1,1,26.0
279,1,0,20.25
810,0,1,7.8875
17,1,1,13.0
278,0,1,29.125
347,1,0,16.1
47,1,0,7.75
584,0,1,8.7125
141,1,0,7.75
158,0,1,8.6625
189,0,1,7.8958
848,0,1,33.0
215,1,0,113.275
182,0,1,31.3875
321,0,1,7.8958
363,0,1,7.05
469,1,0,19.2583
139,0,1,79.2
77,0,1,8.05
664,1,1,7.925
128,1,0,22.3583
52,1,0,76.7292
741,0,1,78.85
607,1,1,30.5
219,0,1,10.5
230,1,0,83.475
371,0,1,6.4958
127,1,1,7.1417
22,1,0,8.0292
882,0,0,10.5167
351,0,1,35.0
180,0,0,69.55
76,0,1,7.8958
682,0,1,9.225
108,0,1,7.8958
385,0,1,73.5
554,1,0,7.775
218,1,0,76.2917
749,0,1,7.75
719,0,1,7.775
73,0,1,14.4542
690,1,1,57.0
63,0,1,27.9
325,1,0,135.6333
311,1,0,262.375
752,0,1,9.5
196,0,1,7.75
723,0,1,13.0
555,0,1,26.55
873,0,1,9.0
350,0,1,9.225
289,1,0,7.75
398,0,1,10.5
428,0,1,7.75
115,0,1,7.925
545,0,1,26.0
884,0,1,7.05
377,0,1,211.5
417,1,0,13.0
498,0,0,151.55
609,1,0,153.4625
883,0,1,10.5
501,0,0,7.75
442,0,1,7.775
864,0,1,13.0
20,0,1,26.0
561,0,1,7.8958
124,0,1,77.2875
854,0,0,26.0
861,0,1,11.5
528,0,1,7.925
503,0,0,9.5875
25,1,0,31.3875
599,1,1,56.9292
654,0,0,6.75
365,0,1,7.25
731,0,1,18.7875
132,0,0,14.5
228,0,1,13.0
828,1,1,7.75
477,0,1,7.0458
726,1,0,21.0
533,1,0,22.3583
589,0,1,8.05
853,1,0,39.4
777,1,0,12.475
153,0,1,14.5
95,0,1,8.05
106,1,0,7.65
24,0,0,21.075
678,0,0,46.9
33,0,1,10.5
205,0,0,10.4625
408,0,1,7.775
619,0,1,10.5
209,1,1,31.0
449,1,1,30.5
211,1,0,21.0
805,0,1,7.775
742,1,0,262.375
751,1,1,12.475
210,0,1,7.05
120,0,1,73.5
708,1,0,151.55
296,0,1,7.2292
650,0,1,7.8958
509,1,1,56.4958
323,1,0,29.0
557,0,1,227.525
126,0,1,7.75
214,0,1,7.75
272,1,0,19.5
510,1,1,7.75
753,0,1,7.8958
221,0,1,13.0
669,1,0,52.0
253,0,1,16.1
736,0,0,34.375
39,1,0,11.2417
366,1,0,75.25
614,0,1,8.05
137,0,1,53.1
445,1,1,81.8583
259,1,0,26.0
569,1,1,7.8542
496,1,0,78.2667
603,0,1,8.05
656,0,1,7.8958
646,0,1,7.8958
525,0,1,7.75
391,1,1,7.7958
466,0,1,0.0
807,0,0,7.775
696,0,1,8.05
245,0,1,90.0
326,0,1,6.2375
869,1,1,11.1333
359,1,0,7.8792
42,0,1,7.8958
822,0,1,0.0
537,1,0,106.425
463,0,1,13.0
119,0,0,31.275
514,0,1,7.4958
231,0,1,7.775
615,1,0,65.0
348,1,1,15.9
711,0,1,26.55
746,0,1,20.25
164,0,1,39.6875
268,1,0,153.4625
524,0,1,7.2292
236,0,1,26.0
594,0,1,26.0
744,1,1,7.925
315,1,0,7.8542
252,0,1,26.55
815,0,1,0.0
257,1,0,86.5
735,0,1,16.1
474,0,0,9.8375
5,0,1,8.4583
870,0,1,7.8958
832,0,1,7.2292
192,1,0,7.8542
277,0,1,0.0
489,1,1,15.9
581,1,0,110.8833
611,0,1,7.05
635,1,0,13.0
516,1,0,10.5
419,0,0,24.15
339,0,1,35.5
574,0,1,8.05
878,0,1,7.8958
495,0,1,14.4583
3,1,0,53.1
433,0,1,7.125
172,1,0,11.1333
579,1,1,7.925
448,1,0,19.2583
559,1,0,17.4
643,1,1,56.4958
811,0,1,24.15
34,0,1,82.1708
743,0,1,16.1
458,1,0,10.5
538,0,1,14.5
111,0,0,14.4542
576,1,0,13.0
267,1,1,7.775
876,0,1,9.8458
713,0,1,9.4833
190,1,0,13.0
776,0,1,7.75
249,0,1,26.0
781,1,0,57.0
857,1,1,26.55
871,1,0,52.5542
387,1,0,13.0
222,0,1,8.05
600,1,0,27.0
409,0,0,25.4667
772,0,0,10.5
760,0,1,14.5
133,1,0,26.0
681,1,1,76.7292
60,0,1,7.2292
465,0,1,7.05
862,1,0,25.9292
331,0,1,28.5
617,0,0,16.1
860,0,1,14.1083
21,1,1,13.0
729,0,0,7.925
114,0,0,14.4583
6,0,1,51.8625
556,1,0,39.6
293,0,0,8.85
728,0,1,26.0
587,1,1,79.2
288,1,1,13.0
309,1,0,56.9292
160,0,1,16.1
299,1,0,247.5208
184,1,0,22.025
68,1,0,7.925
59,0,1,46.9
532,0,1,7.2292
613,0,1,7.75
803,1,1,8.5167
459,0,1,7.75
422,0,1,7.875
400,1,1,7.925
303,1,0,12.35
641,1,0,69.3
620,0,1,14.4542
328,1,0,20.525
759,1,0,86.5
838,1,1,56.4958
564,0,0,8.05
789,0,1,79.2
491,0,1,7.25
429,1,1,8.05
394,1,0,16.7
464,0,1,8.05
480,0,1,46.9
138,0,1,9.2167
692,1,1,56.4958
46,0,1,15.5
468,0,1,7.725
383,1,0,52.0
655,0,1,73.5
290,1,0,78.85
886,0,1,13.0
627,1,0,77.9583
443,1,0,13.0
767,0,0,7.75
836,0,1,8.6625
881,0,1,7.8958
583,0,1,40.125
675,0,1,7.775
488,0,1,8.05
11,1,0,26.55
513,1,0,59.4
260,0,1,7.75
783,0,1,23.45
92,0,1,61.175
404,0,0,8.6625
791,0,1,26.0
460,1,1,26.55
567,0,0,21.075
727,1,0,7.7375
235,0,0,7.55
65,1,1,15.2458
250,0,1,7.25
766,0,1,39.6
431,1,0,16.1
338,1,1,8.05
504,1,0,86.5
446,1,0,19.5
661,0,1,7.225
662,0,1,25.5875
155,0,1,61.3792
782,0,1,30.0
269,1,0,135.6333
179,0,1,0.0
626,0,1,12.35
19,1,0,7.225
683,0,1,46.9
769,0,1,8.3625
333,0,1,18.0
748,0,1,53.1
506,1,0,26.0
195,1,0,146.5208
499,0,1,7.7958
837,0,1,8.05
725,0,1,8.6625
86,0,1,34.375
239,0,1,12.275
254,0,0,20.2125
319,1,0,134.5
639,0,1,16.1
295,0,1,27.7208
830,1,0,14.4542
276,0,0,7.75
755,1,1,14.5
806,0,1,0.0
427,1,0,26.0
703,0,1,7.7417
698,0,1,110.8833
216,1,0,7.925
563,0,1,8.05
453,1,1,89.1042
298,1,1,30.5
461,0,1,8.05
526,1,0,10.5
27,0,1,263.0
62,0,1,83.475
666,0,1,13.0
130,0,1,7.8958
660,1,1,133.65
457,1,0,51.8625
482,0,1,8.05
508,0,1,22.525
421,0,1,7.7333
78,1,1,29.0
310,1,0,83.1583
818,0,1,6.45
171,0,1,29.125
100,0,0,7.8958
261,1,1,31.3875
389,1,0,12.0
590,0,1,7.125
101,0,1,7.8958
816,0,0,7.925
444,1,1,8.1125
788,1,1,20.575
251,0,0,10.4625
420,0,1,7.8958
109,1,0,24.15
142,1,0,15.85
104,0,1,7.925
355,0,1,9.5
256,1,0,79.2
577,1,0,55.9
53,1,0,26.0
710,1,0,49.5042
700,1,0,227.525
424,0,1,20.2125
89,0,1,8.05
558,1,0,79.65
747,1,0,13.0
651,1,0,23.0
481,0,1,0.0
57,0,1,7.2292
402,0,0,9.825
625,0,1,32.3208
568,0,1,7.2292
70,0,1,10.5
368,1,0,7.75
284,0,1,26.0
640,0,1,7.8542
794,0,1,7.8958
79,1,0,12.475
487,0,1,29.7
204,1,1,8.05
54,0,1,61.9792
382,0,1,7.925
562,0,1,13.5
18,0,0,18.0
317,0,1,14.0
631,0,1,7.0542
768,0,1,24.15
633,0,1,0.0
484,1,1,91.0792
819,0,1,27.9
237,1,0,26.25
520,1,0,93.5
56,1,0,10.5
750,1,0,23.0
856,1,0,164.8667
110,0,1,52.0
98,1,0,23.0
699,0,1,7.65
121,0,1,8.05
523,1,0,57.9792
636,0,1,7.925
535,1,0,26.25
305,1,1,151.55
686,0,1,39.6875
616,0,1,14.4
416,1,0,32.5
212,0,1,7.25
580,1,0,30.0
411,0,1,6.8583
859,0,1,7.2292
867,0,1,50.4958
591,1,0,78.2667
113,0,0,9.825
704,0,1,7.8542
706,1,0,13.5
226,1,1,10.5
407,1,1,18.75
889,1,1,30.0
117,0,1,21.0
32,1,0,7.75
306,1,0,110.8833
632,1,1,30.5
841,0,1,10.5
694,0,1,26.55
546,1,0,26.0
217,0,1,27.0
12,0,1,8.05
143,0,1,6.75
471,0,1,8.6625
872,0,1,5.0
648,0,1,7.55
156,1,0,7.7333
82,1,0,7.7875
845,0,1,7.55
238,0,1,10.5
292,0,1,12.875
707,1,1,26.2875
689,1,0,211.3375
390,1,1,120.0
0,0,1,7.25
169,0,1,56.4958
547,1,1,13.8625
44,1,0,7.8792
573,1,0,7.75
401,0,1,8.05
38,0,0,18.0
97,1,1,63.3583
851,0,1,7.775
630,1,1,30.0
426,1,0,26.0
534,0,0,8.6625
663,0,1,7.4958
103,0,1,8.6542
186,1,0,15.5
450,0,1,27.75
280,0,1,7.75
425,0,1,7.25
165,1,1,20.525
649,1,0,7.55
434,0,1,55.9
868,0,1,9.5
829,1,0,80.0
560,0,1,7.75
595,0,1,24.15
779,1,0,211.3375
455,1,1,7.8958
671,0,1,52.0
9,1,0,30.0708
888,0,0,23.45
233,1,0,31.3875
667,0,1,7.775
447,1,1,26.55
628,0,1,7.8958
343,0,1,13.0
439,0,1,10.5
241,1,0,15.5
335,0,1,7.8958
379,0,1,7.775
43,1,0,41.5792
645,1,1,76.7292
588,0,1,8.05
432,1,0,26.0
850,0,1,31.275
344,0,1,13.0
529,0,1,11.5
360,0,1,27.9
494,0,1,8.05
134,0,1,13.0
670,1,0,39.0
521,0,1,7.8958
758,0,1,8.05
665,0,1,73.5
50,0,1,39.6875
621,1,1,52.5542
497,0,1,15.1
198,1,0,7.75
440,1,0,26.25
786,1,0,7.4958
282,0,1,9.5
840,0,1,7.925
673,1,1,13.0
478,0,1,7.5208
15,1,0,16.0
820,1,0,93.5
879,1,0,83.1583
122,0,1,30.0708
586,0,1,15.0
833,0,1,7.8542
578,0,0,14.4583
437,1,0,18.75
585,1,0,79.65
732,0,1,0.0
381,1,0,15.7417
345,1,0,13.0
307,1,0,108.9
55,1,1,35.5
13,0,1,31.275
809,1,0,53.1
606,0,1,7.8958
74,1,1,56.4958
765,1,0,77.9583
456,0,1,26.55
356,1,0,55.0
271,1,1,0.0
813,0,0,31.275
300,1,0,7.75
875,1,0,7.225
